DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1263,Naltrexone,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter1348,Orlistat,Moderate
DDInter58,Aluminum hydroxide,DDInter582,Dolutegravir,Major
DDInter112,Aprepitant,DDInter582,Dolutegravir,Minor
DDInter138,Attapulgite,DDInter582,Dolutegravir,Major
DDInter270,Calcium acetate,DDInter582,Dolutegravir,Major
DDInter271,Calcium carbonate,DDInter582,Dolutegravir,Major
DDInter582,Dolutegravir,DDInter273,Calcium citrate,Major
DDInter582,Dolutegravir,DDInter274,Calcium glubionate anhydrous,Major
DDInter582,Dolutegravir,DDInter276,Calcium gluconate,Major
DDInter582,Dolutegravir,DDInter278,Calcium lactate,Major
DDInter582,Dolutegravir,DDInter279,Calcium Phosphate,Major
DDInter975,Iron,DDInter582,Dolutegravir,Major
DDInter380,Cimetidine,DDInter582,Dolutegravir,Minor
DDInter393,Clarithromycin,DDInter582,Dolutegravir,Minor
DDInter416,Clotrimazole,DDInter582,Dolutegravir,Minor
DDInter513,Dexamethasone,DDInter582,Dolutegravir,Minor
DDInter1005,Kaolin,DDInter582,Dolutegravir,Major
DDInter1019,Lamivudine,DDInter1016,Lactitol,Moderate
DDInter582,Dolutegravir,DDInter1112,Magaldrate,Major
DDInter582,Dolutegravir,DDInter1113,Magnesium carbonate,Major
DDInter582,Dolutegravir,DDInter1114,Magnesium chloride,Major
DDInter582,Dolutegravir,DDInter1115,Magnesium citrate,Major
DDInter582,Dolutegravir,DDInter1116,Magnesium gluconate,Major
DDInter582,Dolutegravir,DDInter1118,Magnesium hydroxide,Major
DDInter1119,Magnesium oxide,DDInter582,Dolutegravir,Major
DDInter1120,Magnesium sulfate,DDInter582,Dolutegravir,Major
DDInter1019,Lamivudine,DDInter1123,Mannitol,Moderate
DDInter1164,Metformin,DDInter582,Dolutegravir,Moderate
DDInter1209,Miconazole,DDInter582,Dolutegravir,Minor
DDInter1263,Naltrexone,DDInter1019,Lamivudine,Moderate
DDInter1019,Lamivudine,DDInter1348,Orlistat,Moderate
DDInter1019,Lamivudine,DDInter1703,Sorbitol,Moderate
DDInter1717,Sucralfate,DDInter582,Dolutegravir,Major
DDInter1881,Troglitazone,DDInter582,Dolutegravir,Minor
DDInter1961,Zidovudine,DDInter85,Amphotericin B,Moderate
DDInter1961,Zidovudine,DDInter86,Amphotericin B (cholesteryl sulfate),Moderate
DDInter1961,Zidovudine,DDInter87,Amphotericin B (lipid complex),Moderate
DDInter195,Betamethasone,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter246,Budesonide,Moderate
DDInter1961,Zidovudine,DDInter380,Cimetidine,Minor
DDInter1961,Zidovudine,DDInter393,Clarithromycin,Minor
DDInter1961,Zidovudine,DDInter513,Dexamethasone,Moderate
DDInter1961,Zidovudine,DDInter885,Hydrocortisone,Moderate
DDInter1961,Zidovudine,DDInter1263,Naltrexone,Moderate
DDInter1961,Zidovudine,DDInter1513,Prednisolone,Moderate
DDInter1961,Zidovudine,DDInter1515,Prednisone,Moderate
DDInter1961,Zidovudine,DDInter1622,Rosuvastatin,Moderate
DDInter1961,Zidovudine,DDInter1675,Simvastatin,Moderate
DDInter1961,Zidovudine,DDInter1855,Triamcinolone,Moderate
DDInter269,Calcitriol (topical),DDInter2,Abaloparatide,Moderate
DDInter52,Alosetron,DDInter3,Abametapir (topical),Moderate
DDInter112,Aprepitant,DDInter3,Abametapir (topical),Moderate
DDInter195,Betamethasone,DDInter3,Abametapir (topical),Moderate
DDInter246,Budesonide,DDInter3,Abametapir (topical),Moderate
DDInter252,Bupropion,DDInter3,Abametapir (topical),Moderate
DDInter385,Cisapride,DDInter3,Abametapir (topical),Moderate
DDInter393,Clarithromycin,DDInter3,Abametapir (topical),Moderate
DDInter513,Dexamethasone,DDInter3,Abametapir (topical),Moderate
DDInter519,Dexlansoprazole,DDInter3,Abametapir (topical),Moderate
DDInter581,Dolasetron,DDInter3,Abametapir (topical),Moderate
DDInter601,Dronabinol,DDInter3,Abametapir (topical),Moderate
DDInter629,Eliglustat,DDInter3,Abametapir (topical),Moderate
DDInter676,Esomeprazole,DDInter3,Abametapir (topical),Moderate
DDInter831,Glyburide,DDInter3,Abametapir (topical),Moderate
DDInter840,Granisetron,DDInter3,Abametapir (topical),Moderate
DDInter885,Hydrocortisone,DDInter3,Abametapir (topical),Moderate
DDInter1022,Lansoprazole,DDInter3,Abametapir (topical),Moderate
DDInter1070,Linagliptin,DDInter3,Abametapir (topical),Moderate
DDInter1258,Naldemedine,DDInter3,Abametapir (topical),Moderate
DDInter1261,Naloxegol,DDInter3,Abametapir (topical),Moderate
DDInter1269,Nateglinide,DDInter3,Abametapir (topical),Moderate
DDInter1300,Nitisinone,DDInter3,Abametapir (topical),Moderate
DDInter1340,Omeprazole,DDInter3,Abametapir (topical),Moderate
DDInter1342,Ondansetron,DDInter3,Abametapir (topical),Moderate
DDInter1388,Pantoprazole,DDInter3,Abametapir (topical),Moderate
DDInter1472,Pioglitazone,DDInter3,Abametapir (topical),Moderate
DDInter1513,Prednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1515,Prednisone,DDInter3,Abametapir (topical),Moderate
DDInter1559,Rabeprazole,DDInter3,Abametapir (topical),Moderate
DDInter1581,Repaglinide,DDInter3,Abametapir (topical),Moderate
DDInter1615,Rolapitant,DDInter3,Abametapir (topical),Moderate
DDInter1646,Saxagliptin,DDInter3,Abametapir (topical),Moderate
DDInter1665,Sibutramine,DDInter3,Abametapir (topical),Moderate
DDInter1675,Simvastatin,DDInter3,Abametapir (topical),Moderate
DDInter1811,Tinidazole,DDInter3,Abametapir (topical),Moderate
DDInter1855,Triamcinolone,DDInter3,Abametapir (topical),Moderate
DDInter1881,Troglitazone,DDInter3,Abametapir (topical),Moderate
DDInter5,Abatacept,DDInter1963,Zinc acetate,Minor
DDInter5,Abatacept,DDInter1965,Zinc gluconate,Minor
DDInter5,Abatacept,DDInter1966,Zinc sulfate,Minor
DDInter6,Abciximab,DDInter20,Acetylsalicylic acid,Moderate
DDInter6,Abciximab,DDInter518,Dexfenfluramine,Moderate
DDInter6,Abciximab,DDInter717,Fenfluramine,Moderate
DDInter6,Abciximab,DDInter1665,Sibutramine,Moderate
DDInter112,Aprepitant,DDInter7,Abemaciclib,Moderate
DDInter393,Clarithromycin,DDInter7,Abemaciclib,Major
DDInter416,Clotrimazole,DDInter7,Abemaciclib,Moderate
DDInter513,Dexamethasone,DDInter7,Abemaciclib,Moderate
DDInter1164,Metformin,DDInter7,Abemaciclib,Moderate
DDInter1201,Metreleptin,DDInter7,Abemaciclib,Moderate
DDInter1263,Naltrexone,DDInter7,Abemaciclib,Moderate
DDInter1881,Troglitazone,DDInter7,Abemaciclib,Moderate
DDInter8,Abiraterone,DDInter212,Bisacodyl,Moderate
DDInter8,Abiraterone,DDInter307,Castor oil,Moderate
DDInter385,Cisapride,DDInter8,Abiraterone,Major
DDInter393,Clarithromycin,DDInter8,Abiraterone,Moderate
DDInter518,Dexfenfluramine,DDInter8,Abiraterone,Moderate
DDInter581,Dolasetron,DDInter8,Abiraterone,Major
DDInter8,Abiraterone,DDInter629,Eliglustat,Major
DDInter8,Abiraterone,DDInter632,Eluxadoline,Moderate
DDInter712,Famotidine,DDInter8,Abiraterone,Moderate
DDInter717,Fenfluramine,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter832,Glycerin,Moderate
DDInter840,Granisetron,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter1016,Lactitol,Moderate
DDInter1018,Lactulose,DDInter8,Abiraterone,Moderate
DDInter1055,Levofloxacin,DDInter8,Abiraterone,Moderate
DDInter1088,Loperamide,DDInter8,Abiraterone,Major
DDInter8,Abiraterone,DDInter1115,Magnesium citrate,Moderate
DDInter8,Abiraterone,DDInter1118,Magnesium hydroxide,Moderate
DDInter1197,Metoclopramide,DDInter8,Abiraterone,Moderate
DDInter1202,Metronidazole,DDInter8,Abiraterone,Minor
DDInter8,Abiraterone,DDInter1223,Mineral oil,Moderate
DDInter8,Abiraterone,DDInter1261,Naloxegol,Minor
DDInter1263,Naltrexone,DDInter8,Abiraterone,Moderate
DDInter1300,Nitisinone,DDInter8,Abiraterone,Moderate
DDInter1342,Ondansetron,DDInter8,Abiraterone,Moderate
DDInter1382,Palonosetron,DDInter8,Abiraterone,Moderate
DDInter1389,Papaverine,DDInter8,Abiraterone,Major
DDInter1443,Phenolphthalein,DDInter8,Abiraterone,Moderate
DDInter1472,Pioglitazone,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter1488,Polyethylene glycol (3350),Moderate
DDInter8,Abiraterone,DDInter1487,Polyethylene glycol (3350 with electrolytes),Moderate
DDInter1581,Repaglinide,DDInter8,Abiraterone,Moderate
DDInter1621,Rosiglitazone,DDInter8,Abiraterone,Moderate
DDInter225,Botulinum toxin type A,DDInter136,Atropine,Moderate
DDInter225,Botulinum toxin type A,DDInter397,Clidinium,Moderate
DDInter225,Botulinum toxin type A,DDInter543,Dicyclomine,Moderate
DDInter225,Botulinum toxin type A,DDInter834,Glycopyrronium,Moderate
DDInter225,Botulinum toxin type A,DDInter896,Hyoscyamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1004,Kanamycin,Major
DDInter225,Botulinum toxin type A,DDInter1149,Mepenzolate,Moderate
DDInter225,Botulinum toxin type A,DDInter1180,Methscopolamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1277,Neomycin,Major
DDInter225,Botulinum toxin type A,DDInter1489,Polymyxin B,Major
DDInter225,Botulinum toxin type A,DDInter1535,Propantheline,Moderate
DDInter225,Botulinum toxin type A,DDInter1647,Scopolamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1713,Streptomycin,Major
DDInter225,Botulinum toxin type A,DDInter1886,Trospium,Moderate
DDInter112,Aprepitant,DDInter1377,Paclitaxel,Moderate
DDInter124,Ascorbic acid,DDInter1377,Paclitaxel,Minor
DDInter380,Cimetidine,DDInter1377,Paclitaxel,Moderate
DDInter393,Clarithromycin,DDInter1377,Paclitaxel,Moderate
DDInter416,Clotrimazole,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter513,Dexamethasone,Moderate
DDInter1377,Paclitaxel,DDInter629,Eliglustat,Moderate
DDInter1055,Levofloxacin,DDInter1377,Paclitaxel,Minor
DDInter1202,Metronidazole,DDInter1377,Paclitaxel,Moderate
DDInter1209,Miconazole,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter1615,Rolapitant,Moderate
DDInter1622,Rosuvastatin,DDInter1377,Paclitaxel,Moderate
DDInter1675,Simvastatin,DDInter1377,Paclitaxel,Moderate
DDInter1811,Tinidazole,DDInter1377,Paclitaxel,Moderate
DDInter1881,Troglitazone,DDInter1377,Paclitaxel,Moderate
DDInter195,Betamethasone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter246,Budesonide,Moderate
DDInter991,Isotretinoin,DDInter513,Dexamethasone,Moderate
DDInter598,Doxycycline,DDInter991,Isotretinoin,Major
DDInter885,Hydrocortisone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1224,Minocycline,Major
DDInter1263,Naltrexone,DDInter991,Isotretinoin,Moderate
DDInter1300,Nitisinone,DDInter991,Isotretinoin,Moderate
DDInter1513,Prednisolone,DDInter991,Isotretinoin,Moderate
DDInter1515,Prednisone,DDInter991,Isotretinoin,Moderate
DDInter1783,Tetracycline,DDInter991,Isotretinoin,Major
DDInter1855,Triamcinolone,DDInter991,Isotretinoin,Moderate
DDInter1941,Vitamin A,DDInter991,Isotretinoin,Major
DDInter722,Fentanyl,DDInter59,Alvimopan,Major
DDInter112,Aprepitant,DDInter722,Fentanyl,Major
DDInter136,Atropine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter252,Bupropion,Major
DDInter380,Cimetidine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter393,Clarithromycin,Major
DDInter397,Clidinium,DDInter722,Fentanyl,Moderate
DDInter416,Clotrimazole,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter513,Dexamethasone,Major
DDInter722,Fentanyl,DDInter518,Dexfenfluramine,Major
DDInter543,Dicyclomine,DDInter722,Fentanyl,Moderate
DDInter581,Dolasetron,DDInter722,Fentanyl,Major
DDInter601,Dronabinol,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter632,Eluxadoline,Moderate
DDInter717,Fenfluramine,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter833,Glycerol phenylbutyrate,Moderate
DDInter722,Fentanyl,DDInter834,Glycopyrronium,Moderate
DDInter722,Fentanyl,DDInter840,Granisetron,Major
DDInter896,Hyoscyamine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1093,Lorcaserin,Major
DDInter1126,Mazindol,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1149,Mepenzolate,Moderate
DDInter722,Fentanyl,DDInter1180,Methscopolamine,Moderate
DDInter722,Fentanyl,DDInter1197,Metoclopramide,Moderate
DDInter722,Fentanyl,DDInter1201,Metreleptin,Moderate
DDInter722,Fentanyl,DDInter1209,Miconazole,Moderate
DDInter1244,Morphine,DDInter722,Fentanyl,Major
DDInter1245,Morphine (liposomal),DDInter722,Fentanyl,Major
